juniors,inactives,floor,metric,fed,stat,value
FALSE,FALSE,1000,median,POL,ptpval,0.488349
FALSE,FALSE,1000,median,POL,ptmean,1.869372
FALSE,FALSE,1000,median,POL,ptsd,31.73110768928201
FALSE,FALSE,1000,median,ROU,obs,174
FALSE,FALSE,1000,median,ROU,ptpval,4.77e-4
FALSE,FALSE,1000,median,ROU,ptmean,0.8877554999999999
FALSE,FALSE,1000,median,ROU,ptsd,51.00080679268234
FALSE,FALSE,1000,median,RUS,obs,-68
FALSE,FALSE,1000,median,RUS,ptpval,0.999909
FALSE,FALSE,1000,median,RUS,ptmean,-0.32817799999999997
FALSE,FALSE,1000,median,RUS,ptsd,18.89153992110216
FALSE,FALSE,1000,median,SLO,obs,74.5
FALSE,FALSE,1000,median,SLO,ptpval,0.110529
FALSE,FALSE,1000,median,SLO,ptmean,-1.494811
FALSE,FALSE,1000,median,SLO,ptsd,65.74363796824916
FALSE,FALSE,1000,median,SRB,obs,-54
FALSE,FALSE,1000,median,SRB,ptpval,0.960427
FALSE,FALSE,1000,median,SRB,ptmean,-0.8714585
FALSE,FALSE,1000,median,SRB,ptsd,30.33997217939874
FALSE,FALSE,1000,median,SRI,obs,-70.5
FALSE,FALSE,1000,median,SRI,ptpval,0.968039
FALSE,FALSE,1000,median,SRI,ptmean,2.7626605
FALSE,FALSE,1000,median,SRI,ptsd,38.773804199738144
FALSE,FALSE,1000,median,SUI,obs,-263.5
FALSE,FALSE,1000,median,SUI,ptpval,1
FALSE,FALSE,1000,median,SUI,ptmean,-0.9249525000000001
FALSE,FALSE,1000,median,SUI,ptsd,59.989170379521894
FALSE,FALSE,1000,median,SVK,obs,-105.5
FALSE,FALSE,1000,median,SVK,ptpval,0.994294
FALSE,FALSE,1000,median,SVK,ptmean,1.4930569999999999
FALSE,FALSE,1000,median,SVK,ptsd,42.36090299132979
FALSE,FALSE,1000,median,SWE,obs,-205.5
FALSE,FALSE,1000,median,SWE,ptpval,0.99998
FALSE,FALSE,1000,median,SWE,ptmean,-0.7212815000000001
FALSE,FALSE,1000,median,SWE,ptsd,50.701434682691534
FALSE,FALSE,1000,median,TUR,obs,-84
FALSE,FALSE,1000,median,TUR,ptpval,0.97224
FALSE,FALSE,1000,median,TUR,ptmean,-0.5107559999999999
FALSE,FALSE,1000,median,TUR,ptsd,44.14543586972465
FALSE,FALSE,1000,median,UKR,obs,-32
FALSE,FALSE,1000,median,UKR,ptpval,0.709105
FALSE,FALSE,1000,median,UKR,ptmean,-0.20707599999999962
FALSE,FALSE,1000,median,UKR,ptsd,54.31491449998021
FALSE,FALSE,1000,median,USA,obs,-102.5
FALSE,FALSE,1000,median,USA,ptpval,0.954574
FALSE,FALSE,1000,median,USA,ptmean,-5.5467315
FALSE,FALSE,1000,median,USA,ptsd,55.778883949939356
FALSE,FALSE,1000,median,VIE,obs,-90.5
FALSE,FALSE,1000,median,VIE,ptpval,0.850341
FALSE,FALSE,1000,median,VIE,ptmean,-5.575791
FALSE,FALSE,1000,median,VIE,ptsd,75.88449647115753
FALSE,FALSE,1000,sd,ARG,obs,16.8389426358292
FALSE,FALSE,1000,sd,ARG,ptpval,0.287398
FALSE,FALSE,1000,sd,ARG,ptmean,-1.6655331866348926
FALSE,FALSE,1000,sd,ARG,ptsd,32.83205769420171
FALSE,FALSE,1000,sd,AUT,obs,57.853373993964055
FALSE,FALSE,1000,sd,AUT,ptpval,0.002761
FALSE,FALSE,1000,sd,AUT,ptmean,-0.8184104500839389
FALSE,FALSE,1000,sd,AUT,ptsd,20.335799401666772
FALSE,FALSE,1000,sd,BAN,obs,59.19592822339601
FALSE,FALSE,1000,sd,BAN,ptpval,0.034593
FALSE,FALSE,1000,sd,BAN,ptmean,-2.0458954935131572
FALSE,FALSE,1000,sd,BAN,ptsd,32.78461508046856
FALSE,FALSE,1000,sd,BEL,obs,21.050504205563243
FALSE,FALSE,1000,sd,BEL,ptpval,0.181181
FALSE,FALSE,1000,sd,BEL,ptmean,-1.0120788858833798
FALSE,FALSE,1000,sd,BEL,ptsd,24.187086801180914
FALSE,FALSE,1000,sd,BRA,obs,-15.461236900890412
FALSE,FALSE,1000,sd,BRA,ptpval,0.7855
FALSE,FALSE,1000,sd,BRA,ptmean,-0.5551522189905035
FALSE,FALSE,1000,sd,BRA,ptsd,18.7323266769344
FALSE,FALSE,1000,sd,BUL,obs,-74.75180771078078
FALSE,FALSE,1000,sd,BUL,ptpval,0.968297
FALSE,FALSE,1000,sd,BUL,ptmean,-2.021577300511799
FALSE,FALSE,1000,sd,BUL,ptsd,39.34977759026443
FALSE,FALSE,1000,sd,CHI,obs,-27.648735609362234
FALSE,FALSE,1000,sd,CHI,ptpval,0.784777
FALSE,FALSE,1000,sd,CHI,ptmean,-1.638308795620468
FALSE,FALSE,1000,sd,CHI,ptsd,32.82291907257437
FALSE,FALSE,1000,sd,CHN,obs,-72.52928989701638
FALSE,FALSE,1000,sd,CHN,ptpval,0.993329
FALSE,FALSE,1000,sd,CHN,ptmean,-0.4404409963655679
FALSE,FALSE,1000,sd,CHN,ptsd,29.042688772976838
FALSE,FALSE,1000,sd,COL,obs,-1.006342547062701
FALSE,FALSE,1000,sd,COL,ptpval,0.500916
FALSE,FALSE,1000,sd,COL,ptmean,-0.8310737837705856
FALSE,FALSE,1000,sd,COL,ptsd,22.78444223583961
FALSE,FALSE,1000,sd,CRO,obs,29.541866746269022
FALSE,FALSE,1000,sd,CRO,ptpval,0.085422
FALSE,FALSE,1000,sd,CRO,ptmean,-0.9271469653978053
FALSE,FALSE,1000,sd,CRO,ptsd,22.031586661794698
FALSE,FALSE,1000,sd,CUB,obs,-50.35929301731872
FALSE,FALSE,1000,sd,CUB,ptpval,0.989815
FALSE,FALSE,1000,sd,CUB,ptmean,-0.8115311429469539
FALSE,FALSE,1000,sd,CUB,ptsd,21.648697408088488
FALSE,FALSE,1000,sd,CZE,obs,30.824996277727593
FALSE,FALSE,1000,sd,CZE,ptpval,0.02026
FALSE,FALSE,1000,sd,CZE,ptmean,-0.4276861404199434
FALSE,FALSE,1000,sd,CZE,ptsd,15.089497426240111
FALSE,FALSE,1000,sd,DEN,obs,48.39043760926336
FALSE,FALSE,1000,sd,DEN,ptpval,0.050972
FALSE,FALSE,1000,sd,DEN,ptmean,-1.6031580916257853
FALSE,FALSE,1000,sd,DEN,ptsd,30.27392779369733
FALSE,FALSE,1000,sd,EGY,obs,-12.429036006937054
FALSE,FALSE,1000,sd,EGY,ptpval,0.61923
FALSE,FALSE,1000,sd,EGY,ptmean,-1.792910474073532
FALSE,FALSE,1000,sd,EGY,ptsd,33.56451186222075
FALSE,FALSE,1000,sd,ENG,obs,37.57501030969286
