metric,juniors,inactives,floor,fed,yP,yPEA,E,A,weight
top1,FALSE,TRUE,1600,ITA,30.111615999999998,28.03454282728902,97,-7,1.200988090322902e-4
top1,FALSE,TRUE,1600,KAZ,39.435328,42.06906329774442,-34,7,1.5926314471413042e-4
top1,FALSE,TRUE,1600,LAT,246.61346700000001,250.64264047643252,456,0,1.0196973973380217e-4
top1,FALSE,TRUE,1600,LTU,-57.577166,-42.284183703823736,782,20,2.3330659329245086e-4
top1,FALSE,TRUE,1600,MAS,90.62385800000001,88.9553981754049,333,-11,5.5372723465036405e-5
top1,FALSE,TRUE,1600,MDA,221.400963,230.97431690610753,277,17,1.0980016090899643e-4
top1,FALSE,TRUE,1600,MEX,235.590934,242.78634817239526,-87,19,1.422033961168349e-4
top1,FALSE,TRUE,1600,MGL,61.340015,61.72879489684875,44,0,2.2800370077956912e-4
top1,FALSE,TRUE,1600,NED,166.195889,168.56111528303595,410,-3,8.964342328955507e-5
top1,FALSE,TRUE,1600,NOR,256.641479,254.20041774452417,293,-12,3.686480830384969e-5
top1,FALSE,TRUE,1600,PER,99.56111100000001,98.43119575532701,-33,-2,7.74255692062565e-5
top1,FALSE,TRUE,1600,PHI,220.254508,226.78875571690824,360,8,2.2492188687232406e-4
top1,FALSE,TRUE,1600,POL,211.014488,205.58193190136924,-93,-11,1.4233027805335814e-4
top1,FALSE,TRUE,1600,POR,230.647389,228.73152378650113,305,-11,8.11749338663838e-5
top1,FALSE,TRUE,1600,ROU,99.770764,101.07803246687304,-279,9,1.9076933249042227e-4
top1,FALSE,TRUE,1600,RSA,145.557519,153.8302787082071,367,12,8.205374944238153e-5
top1,FALSE,TRUE,1600,RUS,166.357497,174.7636197523249,-709,35,3.147968826418817e-4
top1,FALSE,TRUE,1600,SLO,180.206785,180.62054606658324,-475,11,1.147993226528927e-4
top1,FALSE,TRUE,1600,SRB,133.342444,129.39305006025415,739,-25,2.6894420667064394e-4
top1,FALSE,TRUE,1600,SRI,151.151561,163.29851476278182,-1,29,6.076207670252755e-5
top1,FALSE,TRUE,1600,SUI,87.58235300000001,95.5686755040379,-377,27,1.0577803240352496e-4
top1,FALSE,TRUE,1600,SVK,76.631408,73.72655631815493,-139,-4,1.2666289892059967e-4
top1,FALSE,TRUE,1600,SWE,-37.967265999999995,-48.607157253049415,219,-30,9.896784539028771e-5
top1,FALSE,TRUE,1600,TKM,264.167941,258.5828234932531,459,-23,1.5127942472710365e-4
top1,FALSE,TRUE,1600,TUR,-8.424746999999996,-13.450851388288854,-47,-11,7.112705055879414e-5
top1,FALSE,TRUE,1600,UKR,90.181156,100.1223755328022,34,23,7.576686521482377e-4
top1,FALSE,TRUE,1600,USA,181.068772,179.35505182278507,233,-9,9.784959180942088e-5
top1,FALSE,TRUE,1600,UZB,122.188859,127.52377439280033,-345,20,8.716538229131252e-5
top1,FALSE,TRUE,1600,VEN,232.704415,235.12310245513353,843,-12,7.850844249523048e-5
top1,FALSE,TRUE,1600,VIE,301.609572,301.0815792329803,130,-4,4.326836278050235e-5
top1,TRUE,FALSE,1000,ALG,283.156222,291.1642902792462,541,-10,3.9828872454942694e-5
top1,TRUE,FALSE,1000,ANG,329.341517,350.21647087929557,42,19,9.843514180206265e-5
top1,TRUE,FALSE,1000,ARG,146.639808,159.97354675119502,456,-2,1.2370157961041556e-4
top1,TRUE,FALSE,1000,ARM,271.212205,272.74905226652857,167,-4,1.0717331645714722e-4
top1,TRUE,FALSE,1000,AUS,136.519184,120.91052997635356,357,-27,8.165054795998093e-5
top1,TRUE,FALSE,1000,AUT,150.402035,159.9429034643463,465,-6,1.0219651887643812e-4
top1,TRUE,FALSE,1000,AZE,212.710276,229.15144419045842,32,15,1.0323726211188706e-4
top1,TRUE,FALSE,1000,BAN,239.047074,241.78074574411224,415,-11,5.5172836568015896e-5
top1,TRUE,FALSE,1000,BEL,153.769263,167.550970200093,-229,21,1.1373818964336846e-4
top1,TRUE,FALSE,1000,BIH,184.017647,173.31503211928742,381,-23,7.837601238977602e-5
